time,closed_price,scaled_volume_USDC,scaled_volume_WETH
2021-05-05 23:00:00,3402.7291891218797,0.0,1.0142778305047347e-16
2021-05-06 00:00:00,3496.2031734354387,1.0460129427421753e-12,1.4958945694543385e-16
2021-05-06 01:00:00,3480.1985788394554,8.054987994257948e-13,1.5588244526836386e-16
2021-05-06 02:00:00,3503.486877473303,1.1945835117097113e-12,2.8738550938925574e-16
2021-05-06 03:00:00,3487.0779969504747,4.627662462533255e-13,1.748783032602284e-16
2021-05-06 04:00:00,3471.234598456477,4.469555637333737e-13,1.6659775532844403e-16
2021-05-06 05:00:00,3464.3030354958782,9.54624882101432e-13,2.9045944012496015e-16
2021-05-06 06:00:00,3456.069061043017,7.275764110980213e-13,2.3196323970625713e-16
2021-05-06 07:00:00,3415.443455661105,5.803980775195317e-13,2.699513470305344e-16
2021-05-06 08:00:00,3418.4394966902173,5.550825060926806e-13,1.5510934778293826e-16
2021-05-06 09:00:00,3414.7713798867712,7.745736985092244e-13,2.3421975983378023e-16
2021-05-06 10:00:00,3431.003330842637,1.5449348759535764e-12,4.0937238246701403e-16
2021-05-06 11:00:00,3480.133766766666,1.748558928768481e-12,3.842762381723019e-16
2021-05-06 12:00:00,3504.889224624423,1.1114293507038999e-12,2.5822094834336544e-16
2021-05-06 13:00:00,3484.752617353404,7.956210713647784e-13,2.758052491815328e-16
2021-05-06 14:00:00,3491.864311234723,9.558319479479932e-13,2.569937877187313e-16
2021-05-06 15:00:00,3518.8277957329747,1.3912325156341881e-12,3.33244411412018e-16
2021-05-06 16:00:00,3532.944765085211,1.300811524070104e-12,3.3171604257410743e-16
2021-05-06 17:00:00,3545.272312899992,1.1283502477063367e-12,2.865769666748654e-16
2021-05-06 18:00:00,3579.2109419025787,1.4114597478934755e-12,3.150498938294302e-16
2021-05-06 19:00:00,3457.4586212510217,1.1742030307023078e-12,6.304012504155005e-16
2021-05-06 20:00:00,3467.653901561004,1.2046123287965231e-12,3.3522052692445345e-16
2021-05-06 21:00:00,3451.5541455337434,1.6529374819461977e-12,5.455862246351646e-16
2021-05-06 22:00:00,3493.422561922166,1.5442839386393884e-12,3.3837199871343245e-16
2021-05-06 23:00:00,3507.9142255342013,1.7888431444058372e-12,4.639978355825813e-16
2021-05-07 00:00:00,3496.292879379219,1.1519902644759345e-12,3.5131083718662997e-16
2021-05-07 01:00:00,3506.9650447882873,8.596086359786896e-13,2.17543162630191e-16
2021-05-07 02:00:00,3480.313483594076,8.876351081946245e-13,3.2137990427553024e-16
